iter	RMSE
0	0.1208144951
1	0.1175470777
2	0.1149039916
3	0.111825089
4	0.1096412365
5	0.1075254976
6	0.1056056982
7	0.1038029549
8	0.1027237873
9	0.1013713288
10	0.1003376385
11	0.09968103394
12	0.09852784561
13	0.09687642077
14	0.09591042063
15	0.0946483566
16	0.09387858054
17	0.09344006895
18	0.09261960247
19	0.0918603248
20	0.09150965113
21	0.09123636537
22	0.09056912417
23	0.08961469718
24	0.08927383937
25	0.08867340724
26	0.08777145242
27	0.08717789635
28	0.08623052192
29	0.08602171182
