date;rr;ticker;period
2021-12-29;-0.002096907250306926;TSLA;p1
2021-12-30;-0.014699782732613053;TSLA;p1
2021-12-31;-0.012749774874751605;TSLA;p1
2022-01-03;0.1269116289226746;TSLA;p1
2022-01-04;-0.04273287830059682;TSLA;p1
2022-01-05;-0.054953895352910696;TSLA;p1
2022-01-06;-0.021758379841487693;TSLA;p1
2022-01-07;-0.03609004895021842;TSLA;p1
2022-01-10;0.029890740749494566;TSLA;p1
2022-01-11;0.005917481776156395;TSLA;p1
2022-01-12;0.03853754612843837;TSLA;p1
2022-01-13;-0.06987655465675016;TSLA;p1
2022-01-14;0.017346435457551865;TSLA;p1
2022-01-18;-0.018364847454341894;TSLA;p1
2022-01-19;-0.03441330009854252;TSLA;p1
2022-01-20;0.000622510083264904;TSLA;p1
2022-01-21;-0.0539980722931419;TSLA;p1
2022-01-24;-0.014835635717323473;TSLA;p1
2022-01-25;-0.012551567227813773;TSLA;p1
2022-01-26;0.02048773822340817;TSLA;p1
2022-01-27;-0.12277997465910719;TSLA;p1
2022-01-28;0.02059221036289143;TSLA;p1
2022-01-31;0.10145138741776683;TSLA;p1
2022-02-01;-0.005856643341232021;TSLA;p1
2022-02-02;-0.02786380690498853;TSLA;p1
2022-02-03;-0.016162405874435497;TSLA;p1
2022-02-04;0.035474386816493036;TSLA;p1
2022-02-07;-0.017458706575610557;TSLA;p1
2022-02-08;0.016028052271245364;TSLA;p1
2022-02-09;0.010787525285489406;TSLA;p1
2022-02-10;-0.0298952129692807;TSLA;p1
2022-02-11;-0.050505215210130634;TSLA;p1
2022-02-14;0.018159773032297852;TSLA;p1
2022-02-15;0.05191932445845771;TSLA;p1
2022-02-16;0.0010402120327626255;TSLA;p1
2022-02-17;-0.05228610180162916;TSLA;p1
2022-02-18;-0.022350967561475237;TSLA;p1
2022-02-22;-0.04224617718140919;TSLA;p1
2022-02-23;-0.07254830168258311;TSLA;p1
2022-02-24;0.04695367409397792;TSLA;p1
2022-02-25;0.011299945777284081;TSLA;p1
2022-02-28;0.07211363413565586;TSLA;p1
2022-03-01;-0.006986492144572377;TSLA;p1
2022-03-02;0.01779600470296842;TSLA;p1
2022-03-03;-0.04724057511561311;TSLA;p1
2022-03-04;-0.0011922300504741562;TSLA;p1
2022-03-07;-0.04104369101185902;TSLA;p1
2022-03-08;0.024335419149005895;TSLA;p1
2022-03-09;0.04107819387010212;TSLA;p1
2022-03-10;-0.024358017786858904;TSLA;p1
2022-03-11;-0.05259370365966602;TSLA;p1
2022-03-14;-0.03711720154932235;TSLA;p1
2022-03-15;0.04530634609366675;TSLA;p1
2022-03-16;0.046704219074345354;TSLA;p1
2022-03-17;0.03665493442277862;TSLA;p1
2022-03-18;0.03803519751155836;TSLA;p1
2022-03-21;0.017268009913468576;TSLA;p1
2022-03-22;0.0760832835953988;TSLA;p1
2022-03-23;0.005147863044765912;TSLA;p1
2022-03-24;0.014714339594958641;TSLA;p1
2022-03-25;-0.003240181703986614;TSLA;p1
2022-03-28;0.07728050710253655;TSLA;p1
2022-03-29;0.007054913567225325;TSLA;p1
2022-03-30;-0.005087674440050588;TSLA;p1
2022-03-31;-0.01509517416561853;TSLA;p1
2022-04-01;0.006465651918934319;TSLA;p1
2022-04-04;0.05459557817973847;TSLA;p1
2022-04-05;-0.048464637280470575;TSLA;p1
2022-04-06;-0.042589069768463106;TSLA;p1
2022-04-07;0.01093679078037125;TSLA;p1
2022-04-08;-0.030510186068030958;TSLA;p1
2022-04-11;-0.049534931817513166;TSLA;p1
2022-04-12;0.01122853693277581;TSLA;p1
2022-04-13;0.03525937358618668;TSLA;p1
2022-04-14;-0.03723709338922126;TSLA;p1
2022-04-18;0.01939443951963136;TSLA;p1
2022-04-19;0.023480261839117743;TSLA;p1
2022-04-20;-0.05082502163771964;TSLA;p1
2022-04-21;0.03180563608534794;TSLA;p1
2022-04-22;-0.003704429607069112;TSLA;p1
2022-04-25;-0.007019222592886596;TSLA;p1
